id_transacao;escore_risco;desfecho;valor;cliente
TX-100053;747;aprovada;365,53;CLI-00718
TX-100054;462;aprovada;112,89;CLI-02481
TX-100055;349;aprovada;1.580,76;CLI-03000
TX-100056;633;aprovada;211,67;CLI-01123
TX-100057;425;aprovada;545,44;CLI-00455
TX-100058;461;0;152,87;CLI-00150
TX-100059;517;aprovada;215,10;CLI-00104
TX-100060;548;0;1.165,65;CLI-00363
TX-100061;511;0;469,06;CLI-01345
TX-100062;721;chargeback;899,77;CLI-00006
TX-100063;588;0;340,61;CLI-01778
TX-100064;701;0;378,19;CLI-00659
TX-100065;582;aprovada;142,59;CLI-02044
TX-100066;685;aprovada;859,98;CLI-01744
TX-100067;722;aprovada;1.131,29;CLI-00572
TX-100068;430;aprovada;233,21;CLI-02784
TX-100069;441;aprovada;2.172,80;CLI-02435
TX-100070;377;aprovada;451,35;CLI-01526
TX-100071;401;aprovada;1.077,50;CLI-01239
TX-100072;424;aprovada;224,28;CLI-00141
TX-100073;462;aprovada;667,38;CLI-00591
TX-100074;477;0;157,31;CLI-01350
TX-100075;426;0;400,20;CLI-01788
TX-100076;408;0;521,07;CLI-01464
TX-100077;826;0;519,38;CLI-01015
TX-100078;484;chargeback;70,74;CLI-01884
TX-100079;482;aprovada;175,45;CLI-01215
TX-100080;855;0;131,89;CLI-01695
TX-100081;415;aprovada;664,35;CLI-02055
TX-100082;467;aprovada;439,84;CLI-00790
TX-100083;517;0;849,41;CLI-00587
TX-100084;543;aprovada;266,66;CLI-01806
TX-100085;91;aprovada;490,29;CLI-00976
TX-100086;603;0;447,70;CLI-00887
TX-100087;493;aprovada;292,87;CLI-00735
TX-100088;487;aprovada;656,48;CLI-01794
TX-100089;388;aprovada;271,02;CLI-01438
TX-100090;544;aprovada;181,26;CLI-00102
TX-100091;474;0;545,57;CLI-02884
TX-100092;692;aprovada;171,91;CLI-00685
TX-100093;487;0;182,22;CLI-01194
TX-100094;499;0;1.009,99;CLI-01485
TX-100095;468;aprovada;1.314,61;CLI-02446
TX-100096;682;aprovada;1.335,97;CLI-02010
TX-100097;214;aprovada;77,44;CLI-01625
TX-100098;570;aprovada;358,25;CLI-02909
TX-100099;711;0;370,23;CLI-01970
TX-100100;745;aprovada;2.520,59;CLI-00853
TX-100101;566;0;356,82;CLI-00952
TX-100102;475;0;420,55;CLI-00597
TX-100103;390;0;382,17;CLI-02229
TX-100104;369;0;623,65;CLI-00689
TX-100105;344;0;984,34;CLI-00137
TX-100106;488;aprovada;542,87;CLI-02623
TX-100107;465;0;530,49;CLI-00279
TX-100108;617;0;394,24;CLI-01828
TX-100109;407;0;399,10;CLI-00837
TX-100110;290;0;744,30;CLI-01457
TX-100111;384;aprovada;240,90;CLI-00877
TX-100112;456;aprovada;108,44;CLI-01984
TX-100113;602;0;876,27;CLI-00205
TX-100114;798;aprovada;562,14;CLI-00561
TX-100115;317;0;1.683,90;CLI-02808
TX-100116;416;aprovada;117,97;CLI-00644
TX-100117;396;aprovada;1.562,61;CLI-00745
TX-100118;630;0;250,66;CLI-02711
TX-100119;323;aprovada;529,88;CLI-01802
TX-100120;624;0;784,28;CLI-02768
TX-100121;453;aprovada;521,31;CLI-01219
TX-100122;615;aprovada;372,20;CLI-00815
TX-100123;622;aprovada;144,82;CLI-00634
TX-100124;751;0;283,23;CLI-00234
TX-100125;458;aprovada;226,79;CLI-02274
TX-100126;364;aprovada;704,19;CLI-01568
TX-100127;435;0;1.976,24;CLI-01781
TX-100128;707;aprovada;542,39;CLI-01616
TX-100129;644;0;188,85;CLI-00622
TX-100130;578;aprovada;303,39;CLI-02943
TX-100131;460;aprovada;8.246,82;CLI-02396
TX-100132;418;aprovada;184,22;CLI-02605
TX-100133;693;0;264,40;CLI-00795
TX-100134;517;aprovada;471,16;CLI-02333
TX-100135;570;aprovada;935,40;CLI-02333
TX-100136;370;aprovada;340,50;CLI-02151
TX-100137;444;aprovada;299,33;CLI-00541
TX-100138;270;0;42,26;CLI-00360
TX-100139;508;0;190,50;CLI-00090
TX-100140;781;aprovada;243,65;CLI-01691
TX-100141;659;0;162,90;CLI-00393
TX-100142;600;0;704,37;CLI-02216
TX-100143;384;aprovada;327,98;CLI-01302
TX-100144;679;aprovada;209,23;CLI-01393
TX-100145;454;aprovada;289,69;CLI-02123
TX-100146;458;aprovada;306,37;CLI-01146
TX-100147;255;aprovada;448,26;CLI-00267
TX-100148;417;0;511,89;CLI-00910
TX-100149;581;aprovada;319,87;CLI-01940
TX-100150;514;0;987,12;CLI-01065
TX-100151;483;aprovada;425,14;CLI-02273
TX-100152;431;0;389,96;CLI-02856
TX-100153;301;aprovada;218,20;CLI-00724
TX-100154;487;0;351,21;CLI-02225
TX-100155;509;0;1.017,17;CLI-02839
TX-100156;682;0;390,88;CLI-00589
TX-100157;391;0;219,31;CLI-02114
TX-100158;382;0;828,12;CLI-01463
TX-100159;454;0;791,20;CLI-00519
TX-100160;384;aprovada;591,07;CLI-00496
TX-100161;350;aprovada;495,94;CLI-00920
TX-100162;538;0;97,99;CLI-00094
TX-100163;587;0;524,06;CLI-02996
TX-100164;425;0;1.455,73;CLI-01875
TX-100165;504;aprovada;4.764,98;CLI-00064
TX-100166;599;aprovada;878,76;CLI-01010
TX-100167;629;aprovada;5.769,71;CLI-02072
TX-100168;426;0;386,08;CLI-01200
TX-100169;427;0;188,71;CLI-01420
TX-100170;456;aprovada;264,77;CLI-01957
TX-100171;484;aprovada;160,02;CLI-01009
TX-100172;168;aprovada;180,43;CLI-02356
TX-100173;681;0;162,69;CLI-02578
TX-100174;715;0;3.130,31;CLI-02615
TX-100175;227;0;334,83;CLI-00320
TX-100176;375;aprovada;341,58;CLI-02508
TX-100177;470;aprovada;460,49;CLI-01145
TX-100178;404;0;295,67;CLI-01578
TX-100179;665;aprovada;252,63;CLI-01233
TX-100180;323;aprovada;1.380,81;CLI-01899
TX-100181;641;0;300,10;CLI-02069
TX-100182;396;aprovada;304,56;CLI-00019
TX-100183;560;aprovada;495,44;CLI-01017
TX-100184;504;0;366,02;CLI-02854
TX-100185;742;aprovada;777,90;CLI-02720
TX-100186;372;0;2.486,36;CLI-01993
TX-100187;693;aprovada;224,54;CLI-01466
TX-100188;395;aprovada;76,71;CLI-01959
TX-100189;761;0;1.269,75;CLI-02261
TX-100190;638;aprovada;373,27;CLI-02962
TX-100191;431;aprovada;773,53;CLI-01048
TX-100192;651;0;1.058,24;CLI-00376
TX-100193;456;0;190,03;CLI-02315
TX-100194;450;aprovada;955,57;CLI-00881
TX-100195;522;0;266,82;CLI-01412
TX-100196;213;0;210,45;CLI-01674
TX-100197;358;0;413,27;CLI-02182
TX-100198;594;0;174,55;CLI-00327
TX-100199;489;0;548,69;CLI-01763
TX-100200;694;aprovada;440,02;CLI-02474
TX-100201;483;aprovada;1.167,50;CLI-00891
TX-100202;491;0;360,49;CLI-01925
TX-100203;532;aprovada;708,21;CLI-00411
TX-100204;414;aprovada;211,71;CLI-01072
TX-100205;255;0;359,31;CLI-01585
TX-100206;347;aprovada;126,18;CLI-00722
TX-100207;648;0;163,11;CLI-01092
TX-100208;245;aprovada;75,36;CLI-01109
TX-100209;547;0;6.899,40;CLI-00820
TX-100210;566;aprovada;475,52;CLI-01197
TX-100211;560;0;580,66;CLI-01184
TX-100212;501;0;243,41;CLI-02581
TX-100213;693;0;319,58;CLI-02870
TX-100214;671;0;130,62;CLI-02691
TX-100215;351;aprovada;1.102,63;CLI-01992
TX-100216;520;aprovada;92,84;CLI-02748
TX-100217;313;aprovada;310,86;CLI-02328
TX-100218;412;0;312,16;CLI-02585
TX-100219;458;0;215,95;CLI-02829
TX-100220;786;0;140,56;CLI-02986
TX-100221;411;aprovada;148,92;CLI-01146
TX-100222;569;aprovada;239,95;CLI-00106
TX-100223;322;0;542,95;CLI-00494
TX-100224;419;0;629,34;CLI-00079
TX-100225;210;0;448,77;CLI-00553
TX-100226;200;aprovada;436,35;CLI-00030
TX-100227;573;0;698,11;CLI-02777
TX-100228;503;0;380,67;CLI-00235
TX-100229;538;0;346,48;CLI-01906
TX-100230;425;aprovada;1.261,67;CLI-02338
TX-100231;660;0;889,60;CLI-01344
TX-100232;602;aprovada;782,43;CLI-01812
TX-100233;468;0;887,74;CLI-01450
TX-100234;498;aprovada;721,99;CLI-00247
TX-100235;502;0;1.403,35;CLI-00229
TX-100236;674;0;390,41;CLI-01378
TX-100237;419;0;799,11;CLI-00712
TX-100238;454;aprovada;545,30;CLI-02954
TX-100239;280;0;212,22;CLI-01446
TX-100240;661;aprovada;318,81;CLI-01161
TX-100241;643;0;83,53;CLI-01594
TX-100242;214;aprovada;1.675,49;CLI-00457
TX-100243;321;0;95,95;CLI-01789
TX-100244;467;0;288,72;CLI-02045
TX-100245;398;0;256,87;CLI-01985
TX-100246;597;aprovada;314,18;CLI-00571
TX-100247;557;0;296,71;CLI-02441
TX-100248;314;aprovada;968,48;CLI-01901
TX-100249;570;0;224,43;CLI-02522
TX-100250;291;0;147,54;CLI-02907
TX-100251;632;aprovada;112,07;CLI-01961
TX-100252;525;0;1.072,80;CLI-02417
TX-100253;658;0;367,42;CLI-01220
TX-100254;604;chargeback;138,32;CLI-02829
TX-100255;108;0;274,64;CLI-01776
TX-100256;582;aprovada;128,64;CLI-02590
TX-100257;374;aprovada;612,60;CLI-00841
TX-100258;748;0;186,57;CLI-01916
TX-100259;658;aprovada;1.169,29;CLI-02525
TX-100260;369;0;613,01;CLI-00899
TX-100261;865;0;79,66;CLI-00017
TX-100262;236;aprovada;1.506,63;CLI-00770
TX-100263;441;aprovada;547,86;CLI-02845
TX-100264;703;0;915,59;CLI-02750
TX-100265;321;aprovada;548,67;CLI-02601
TX-100266;567;0;360,70;CLI-00924
TX-100267;713;aprovada;342,47;CLI-02734
TX-100268;446;aprovada;108,32;CLI-00132
TX-100269;617;0;395,97;CLI-02838
TX-100270;541;0;643,93;CLI-00372
TX-100271;685;aprovada;417,81;CLI-02928
TX-100272;695;0;553,58;CLI-00157
TX-100273;426;aprovada;227,95;CLI-01880
TX-100274;469;0;145,31;CLI-01788
TX-100275;470;0;331,56;CLI-01106
TX-100276;657;aprovada;181,89;CLI-00832
TX-100277;181;aprovada;186,26;CLI-00327
TX-100278;595;0;435,12;CLI-00486
TX-100279;500;aprovada;425,04;CLI-01885
TX-100280;668;0;444,61;CLI-00432
TX-100281;487;0;617,07;CLI-02937
TX-100282;460;0;740,86;CLI-00666
TX-100283;710;aprovada;91,16;CLI-01099
TX-100284;781;aprovada;391,11;CLI-02184
TX-100285;506;aprovada;1.069,54;CLI-02612
TX-100286;526;0;481,12;CLI-00574
TX-100287;187;0;1.932,34;CLI-00741
TX-100288;459;aprovada;430,53;CLI-00783
TX-100289;301;aprovada;385,28;CLI-01041
TX-100290;489;0;450,76;CLI-02672
TX-100291;567;aprovada;120,11;CLI-01249
TX-100292;498;aprovada;119,79;CLI-00421
TX-100293;840;0;3.374,32;CLI-02593
TX-100294;841;aprovada;169,93;CLI-01347
TX-100295;424;aprovada;1.974,10;CLI-02133
TX-100296;450;0;147,23;CLI-01053
TX-100297;535;0;760,92;CLI-00885
TX-100298;535;aprovada;388,19;CLI-01355
TX-100299;640;0;537,46;CLI-02444
TX-100300;549;0;723,44;CLI-02049
TX-100301;863;0;136,85;CLI-00274
TX-100302;57;0;999,39;CLI-01821
TX-100303;458;aprovada;359,40;CLI-00884
TX-100304;412;0;745,13;CLI-02097
TX-100305;426;aprovada;731,54;CLI-01741
TX-100306;412;0;3.790,90;CLI-02430
TX-100307;542;0;492,19;CLI-00127
TX-100308;402;aprovada;432,50;CLI-00356
TX-100309;413;0;461,48;CLI-00644
TX-100310;404;aprovada;283,01;CLI-01337
TX-100311;696;aprovada;758,46;CLI-02091
TX-100312;397;0;876,30;CLI-01507
TX-100313;546;0;323,88;CLI-00926
TX-100314;766;0;716,24;CLI-00073
TX-100315;449;aprovada;275,92;CLI-02639
TX-100316;653;aprovada;513,29;CLI-01637
TX-100317;537;1;179,92;CLI-01079
TX-100318;288;0;138,40;CLI-00953
TX-100319;597;aprovada;248,81;CLI-02969
TX-100320;151;aprovada;976,01;CLI-02344
TX-100321;593;aprovada;183,03;CLI-02497
TX-100322;540;aprovada;238,33;CLI-02416
TX-100323;518;aprovada;435,54;CLI-00819
TX-100324;468;aprovada;2.031,12;CLI-00143
TX-100325;405;0;297,79;CLI-02936
TX-100326;625;aprovada;163,47;CLI-02340
TX-100327;618;0;54,03;CLI-02972
TX-100328;340;0;553,29;CLI-02173
TX-100329;579;0;1.156,44;CLI-02544
TX-100330;601;0;729,30;CLI-02498
TX-100331;592;aprovada;1.039,18;CLI-02831
TX-100332;462;0;746,91;CLI-02542
TX-100333;451;0;157,96;CLI-01169
TX-100334;484;0;701,02;CLI-00089
TX-100335;528;0;320,69;CLI-01307
TX-100336;371;0;408,69;CLI-00969
TX-100337;576;0;1.151,57;CLI-00780
TX-100338;426;aprovada;290,84;CLI-02508
TX-100339;295;0;111,29;CLI-02314
TX-100340;589;0;250,59;CLI-00424
TX-100341;365;aprovada;1.018,67;CLI-01914
TX-100342;383;aprovada;1.162,26;CLI-00508
TX-100343;309;aprovada;357,57;CLI-02869
TX-100344;475;aprovada;667,87;CLI-00151
TX-100345;587;aprovada;383,64;CLI-00295
TX-100346;707;aprovada;1.138,73;CLI-02309
TX-100347;263;0;737,07;CLI-01863
TX-100348;499;aprovada;1.177,11;CLI-02806
TX-100349;529;0;228,24;CLI-02180
TX-100350;491;0;227,06;CLI-00285
TX-100351;569;0;216,64;CLI-00137
TX-100352;570;aprovada;502,16;CLI-01378
TX-100353;337;aprovada;167,21;CLI-00526
TX-100354;604;0;259,06;CLI-01480
TX-100355;537;0;169,88;CLI-02655
TX-100356;382;0;751,13;CLI-01534
TX-100357;322;0;351,22;CLI-02943
TX-100358;480;0;131,18;CLI-01731
TX-100359;417;0;659,89;CLI-00132
TX-100360;448;0;295,70;CLI-01084
TX-100361;366;aprovada;435,42;CLI-00483
TX-100362;567;0;1.295,14;CLI-00555
TX-100363;768;0;68,94;CLI-00360
TX-100364;762;0;176,74;CLI-00749
TX-100365;400;0;86,21;CLI-00630
TX-100366;563;aprovada;480,47;CLI-01784
TX-100367;713;aprovada;256,85;CLI-00043
TX-100368;657;aprovada;446,51;CLI-01635
TX-100369;426;aprovada;654,06;CLI-00236
TX-100370;436;0;738,73;CLI-02803
TX-100371;568;aprovada;102,64;CLI-02281
TX-100372;336;aprovada;52,17;CLI-00425
TX-100373;437;aprovada;1.848,42;CLI-02771
TX-100374;657;0;226,82;CLI-00915
TX-100375;642;0;78,08;CLI-00516
TX-100376;363;aprovada;313,71;CLI-00157
TX-100377;735;0;1.790,65;CLI-00924
TX-100378;393;0;516,04;CLI-00435
TX-100379;704;aprovada;1.542,24;CLI-00737
TX-100380;333;0;481,28;CLI-01118
TX-100381;380;aprovada;497,19;CLI-01919
TX-100382;742;0;368,41;CLI-01742
TX-100383;469;aprovada;865,59;CLI-01416
TX-100384;657;aprovada;336,31;CLI-01848
TX-100385;352;0;1.890,28;CLI-01784
TX-100386;433;0;2.032,03;CLI-01100
TX-100387;323;0;30,00;CLI-00534
TX-100388;295;aprovada;722,59;CLI-02296
TX-100389;695;aprovada;76,30;CLI-01256
TX-100390;601;0;101,55;CLI-01434
TX-100391;858;0;844,32;CLI-02291
TX-100392;740;aprovada;651,30;CLI-00903
TX-100393;556;aprovada;437,85;CLI-02583
TX-100394;349;0;297,21;CLI-00856
TX-100395;459;0;514,30;CLI-02433
TX-100396;563;aprovada;682,00;CLI-02391
TX-100397;401;0;248,49;CLI-00662
TX-100398;506;aprovada;4.183,64;CLI-02652
TX-100399;387;0;745,12;CLI-02632
TX-100400;442;0;1.197,65;CLI-02179
TX-100401;658;0;1.631,30;CLI-01111
TX-100402;663;aprovada;197,06;CLI-02572
TX-100403;516;aprovada;168,94;CLI-00691
TX-100404;308;aprovada;274,13;CLI-02181
TX-100405;379;aprovada;151,28;CLI-02040
TX-100406;365;0;319,03;CLI-00405
TX-100407;291;0;1.188,48;CLI-02839
TX-100408;683;aprovada;95,32;CLI-01771
TX-100409;725;aprovada;398,37;CLI-01018
TX-100410;679;aprovada;999,76;CLI-01349
TX-100411;473;aprovada;741,74;CLI-02374
TX-100412;482;0;809,84;CLI-00658
TX-100413;545;0;33,28;CLI-02181
TX-100414;550;aprovada;1.162,51;CLI-02387
TX-100415;727;0;412,28;CLI-00747
TX-100416;812;aprovada;561,40;CLI-00701
TX-100417;787;aprovada;61,53;CLI-02980
TX-100418;168;aprovada;415,99;CLI-01723
TX-100419;660;0;530,34;CLI-00953
TX-100420;600;aprovada;802,07;CLI-01262
TX-100421;501;aprovada;377,11;CLI-01276
TX-100422;317;0;412,72;CLI-02593
TX-100423;507;aprovada;111,14;CLI-01344
TX-100424;555;aprovada;187,46;CLI-01181
TX-100425;529;aprovada;149,02;CLI-00336
TX-100426;553;aprovada;353,75;CLI-00415
TX-100427;493;0;372,89;CLI-01204
TX-100428;622;aprovada;610,14;CLI-02599
TX-100429;393;aprovada;263,56;CLI-00095
TX-100430;239;aprovada;1.266,33;CLI-00996
TX-100431;403;0;414,02;CLI-01359
TX-100432;465;0;474,24;CLI-01992
TX-100433;483;aprovada;716,83;CLI-01736
TX-100434;643;aprovada;570,47;CLI-00645
TX-100435;472;0;131,17;CLI-01808
TX-100436;598;aprovada;426,01;CLI-02314
TX-100437;307;0;270,97;CLI-00822
TX-100438;489;0;886,75;CLI-02080
TX-100439;522;aprovada;368,19;CLI-02570
TX-100440;534;0;41,82;CLI-01974
TX-100441;433;aprovada;254,20;CLI-02179
TX-100442;643;0;682,19;CLI-00886
TX-100443;458;0;584,67;CLI-00458
TX-100444;324;aprovada;4.203,99;CLI-02960
TX-100445;556;0;130,36;CLI-01575
TX-100446;713;0;964,62;CLI-00576
TX-100447;630;0;291,63;CLI-02101
TX-100448;372;0;554,66;CLI-00677
TX-100449;547;aprovada;571,46;CLI-00200
TX-100450;497;0;601,83;CLI-00119
TX-100451;640;aprovada;376,12;CLI-02100
TX-100452;675;0;640,96;CLI-01492
TX-100453;588;0;410,60;CLI-00279
TX-100454;625;aprovada;180,04;CLI-01876
TX-100455;660;0;157,85;CLI-00730
TX-100456;454;0;299,52;CLI-02377
TX-100457;513;0;221,03;CLI-00841
TX-100458;459;aprovada;549,03;CLI-00367
TX-100459;550;aprovada;1.332,77;CLI-00127
TX-100460;495;aprovada;897,40;CLI-00785
TX-100461;682;aprovada;3.352,75;CLI-00225
TX-100462;443;0;69,38;CLI-02495
TX-100463;629;aprovada;1.367,98;CLI-02041
TX-100464;405;aprovada;94,74;CLI-01641
TX-100465;714;0;287,70;CLI-02271
TX-100466;404;aprovada;165,17;CLI-01915
TX-100467;391;0;858,89;CLI-00149
TX-100468;517;0;212,44;CLI-02980
TX-100469;865;aprovada;146,64;CLI-01327
TX-100470;373;aprovada;590,34;CLI-01842
TX-100471;559;0;609,01;CLI-00784
TX-100472;242;aprovada;887,83;CLI-00588
TX-100473;590;0;4.568,47;CLI-02346
TX-100474;415;0;922,41;CLI-01166
TX-100475;657;0;44,47;CLI-00610
TX-100476;715;0;266,55;CLI-02677
TX-100477;707;0;80,73;CLI-02036
TX-100478;815;0;632,57;CLI-00801
TX-100479;452;aprovada;759,86;CLI-02207
TX-100480;528;aprovada;186,70;CLI-02146
TX-100481;551;aprovada;2.108,99;CLI-02684
TX-100482;422;aprovada;443,62;CLI-02860
TX-100483;380;0;713,93;CLI-00166
TX-100484;804;0;175,43;CLI-02116
TX-100485;695;0;1.945,93;CLI-01227
TX-100486;513;aprovada;729,64;CLI-00399
TX-100487;580;aprovada;153,27;CLI-02021
TX-100488;301;0;3.117,86;CLI-01575
TX-100489;400;aprovada;4.304,64;CLI-00739
TX-100490;465;0;448,04;CLI-01132
TX-100491;467;aprovada;995,10;CLI-01579
TX-100492;429;aprovada;553,40;CLI-02429
TX-100493;593;0;1.175,23;CLI-02061
TX-100494;494;aprovada;91,18;CLI-01818
TX-100495;658;1;330,53;CLI-02088
TX-100496;605;aprovada;421,23;CLI-01585
TX-100497;517;0;202,69;CLI-01156
TX-100498;355;aprovada;650,31;CLI-00647
TX-100499;394;0;634,20;CLI-00067
TX-100500;254;0;349,14;CLI-01379
TX-100501;528;0;583,40;CLI-00684
TX-100502;559;0;425,79;CLI-00391
TX-100503;556;aprovada;442,49;CLI-01778
TX-100504;436;0;842,43;CLI-00182
TX-100505;367;aprovada;58,06;CLI-02797
TX-100506;443;0;1.931,09;CLI-01974
TX-100507;392;0;185,07;CLI-00150
TX-100508;518;aprovada;1.506,91;CLI-00295
TX-100509;470;aprovada;125,05;CLI-02891
TX-100510;431;0;192,13;CLI-00300
TX-100511;809;aprovada;138,77;CLI-01460
TX-100512;514;0;460,54;CLI-00798
TX-100513;723;aprovada;1.082,08;CLI-00496
TX-100514;679;0;142,52;CLI-01275
TX-100515;537;0;479,25;CLI-02774
TX-100516;533;0;223,57;CLI-00871
TX-100517;433;0;449,03;CLI-01419
TX-100518;442;aprovada;2.080,48;CLI-00041
TX-100519;589;aprovada;613,32;CLI-02406
TX-100520;689;aprovada;376,87;CLI-02948
TX-100521;249;aprovada;257,04;CLI-01209
TX-100522;622;0;234,27;CLI-01461
TX-100523;524;0;1.448,20;CLI-02208
TX-100524;626;aprovada;605,07;CLI-01014
TX-100525;512;aprovada;177,77;CLI-02859
TX-100526;822;1;431,84;CLI-02405
TX-100527;561;aprovada;391,92;CLI-01922
TX-100528;364;0;773,49;CLI-01706
TX-100529;572;0;641,29;CLI-01980
TX-100530;776;aprovada;255,38;CLI-02732
TX-100531;443;aprovada;385,05;CLI-01686
TX-100532;695;0;357,94;CLI-01739
TX-100533;560;0;385,19;CLI-01408
TX-100534;173;aprovada;1.605,35;CLI-02002
TX-100535;548;0;605,39;CLI-00817
TX-100536;614;0;662,82;CLI-01314
TX-100537;415;0;677,42;CLI-00380
TX-100538;760;0;750,78;CLI-00732
TX-100539;138;0;335,06;CLI-01802
TX-100540;464;aprovada;1.692,62;CLI-00602
TX-100541;457;0;203,03;CLI-01749
TX-100542;807;0;1.083,64;CLI-02440
TX-100543;562;aprovada;129,21;CLI-02375
TX-100544;330;aprovada;214,12;CLI-01478
TX-100545;479;0;651,89;CLI-02573
TX-100546;440;0;358,26;CLI-02129
TX-100547;495;aprovada;627,61;CLI-00675
TX-100548;360;0;952,62;CLI-00994
TX-100549;346;0;170,58;CLI-00081
TX-100550;395;0;330,68;CLI-02722
TX-100551;736;0;587,53;CLI-00794
TX-100552;197;0;245,05;CLI-00420
TX-100553;508;0;496,28;CLI-01844
TX-100554;503;aprovada;206,79;CLI-00164
TX-100555;703;aprovada;496,42;CLI-02482
TX-100556;387;aprovada;314,31;CLI-01087
TX-100557;399;0;637,22;CLI-02817
TX-100558;442;0;52,98;CLI-02988
TX-100559;359;aprovada;313,47;CLI-00197
TX-100560;591;0;1.988,89;CLI-01234
TX-100561;670;0;670,61;CLI-02587
TX-100562;564;0;216,43;CLI-00314
TX-100563;440;0;515,94;CLI-00743
TX-100564;406;0;760,89;CLI-01295
TX-100565;477;0;344,30;CLI-02521
TX-100566;564;0;225,74;CLI-02542
TX-100567;464;0;639,92;CLI-00400
TX-100568;294;0;4.003,16;CLI-00354
TX-100569;578;aprovada;872,43;CLI-02929
TX-100570;383;0;86,33;CLI-02461
TX-100571;317;aprovada;560,98;CLI-02257
TX-100572;345;aprovada;116,97;CLI-01950
TX-100573;534;0;1.089,98;CLI-00359
TX-100574;742;0;559,00;CLI-02900
TX-100575;446;aprovada;488,91;CLI-00010
TX-100576;573;0;243,03;CLI-02245
TX-100577;673;0;371,68;CLI-00797
TX-100578;694;aprovada;840,29;CLI-01879
TX-100579;320;aprovada;1.362,53;CLI-00998
TX-100580;196;0;473,27;CLI-01134
TX-100581;533;aprovada;213,97;CLI-01775
TX-100582;534;0;130,13;CLI-02382
TX-100583;414;0;781,60;CLI-01955
TX-100584;420;0;154,43;CLI-02668
TX-100585;221;0;273,81;CLI-02058
TX-100586;130;0;418,77;CLI-00819
TX-100587;369;aprovada;290,92;CLI-01792
TX-100588;455;aprovada;643,60;CLI-01715
TX-100589;569;aprovada;761,24;CLI-01941
TX-100590;419;aprovada;3.787,94;CLI-01661
TX-100591;575;0;360,18;CLI-02272
TX-100592;208;0;642,24;CLI-01903
TX-100593;661;0;647,94;CLI-02650
TX-100594;455;0;179,09;CLI-01876
TX-100595;837;0;2.551,20;CLI-00914
TX-100596;589;0;312,19;CLI-00225
TX-100597;534;0;755,25;CLI-00244
TX-100598;458;0;771,27;CLI-00946
TX-100599;490;aprovada;1.816,19;CLI-02802
TX-100600;475;aprovada;358,34;CLI-01455
TX-100601;506;0;321,63;CLI-02120
TX-100602;375;0;2.604,35;CLI-01780
TX-100603;708;aprovada;176,30;CLI-00858
TX-100604;408;aprovada;578,36;CLI-00525
TX-100605;525;aprovada;352,82;CLI-01855
TX-100606;725;0;196,28;CLI-00720
TX-100607;366;aprovada;365,82;CLI-00634
TX-100608;380;0;878,34;CLI-00945
TX-100609;448;aprovada;105,70;CLI-02836
TX-100610;568;0;289,55;CLI-02585
TX-100611;404;aprovada;343,83;CLI-01841
TX-100612;317;0;237,90;CLI-00981
TX-100613;72;aprovada;19,00;CLI-01804
